diagnosis,category
STRIDOR,respiratory
S/P TRAUMA,trauma_injury
SPINAL CORD INJURY,trauma_injury
NAUSEA;VOMITING,symptoms_unspecified
HYPOTENSION;TELEMETRY,symptoms_unspecified
OSTEOMYELITIS,infectious
RENAL CANCER/SDA,oncology
MYOCARDIAL INFARCT,cardiovascular
RIGHT BREAST CANCER/SDA,oncology
LOWER GI BLEED;TELEMETRY,gastrointestinal
CORONARY ARTERY DISEASE\LEFT HEART CATHETERIZATION,cardiovascular
GASTROPARESIS,gastrointestinal
HYPERNATREMIA,endocrine_metabolic
NEUTROPENIA,hematologic
KIDNEY TRANSPLANT,renal
S/P MI,cardiovascular
CORONARY ARTERY DISEASE;+ETT\CATH,cardiovascular
SPONTANEOUS BACTERIAL PERITONITIS,infectious
CONGESTIVE HEART FAILURE\Transcatheter Aortic Valve Implant (TAVI) with Pump Stand-by (CoreValve),cardiovascular
R/O SEPSIS,infectious
GANGRENE,infectious
CHEST PAIN\LEFT HEART CATHETERIZATION,cardiovascular
NEUTROPENIC FEVER,infectious
MITRAL REGURGITATION\MITRAL VALVE REPLACEMENT /SDA,cardiovascular
BILE LEAK,postoperative_surgical
SHORTNESS OF BREATH;TELEMETRY,symptoms_unspecified
RECTAL CANCER/SDA,oncology
ABDOMINAL PAIN;TELEMETRY,symptoms_unspecified
V TACH,cardiovascular
PYELONEPHRITIS,infectious
MYOCARDIAL INFARCTION;TELEMETRY,cardiovascular
STATUS POST MOTORVEHICLE ACCIDENT,trauma_injury
LEUKOCYTOSIS,hematologic
RIGHT PLEURAL EFFUSION/SDA,respiratory
PORTAL VEIN THROMBOSIS,hematologic
CORONARY ARTERY DISEASE\CARDIAC CATHETERIZATION,cardiovascular
LINE INFECTION,infectious
PE,cardiovascular
STROKE;TELEMETRY; TIA,neurological
NON Q WAVE MI\CATH,cardiovascular
RESPIRATORY FAILURE;PNEUMONIA,respiratory
ESOPHAGEAL STRICTURE/SDA,gastrointestinal
MITRAL VALVE INSUFFICENCY\MITRAL VALVE REPLACEMENT /SDA,cardiovascular
INTRAPARANCHYMAL HEMORRHAGE,neurological
BILIARY COLIC,hepatobiliary
CHRONIC OBSTRUCTIVE PULMONARY DISEASE EXACERBATION,respiratory
ACUTE RENAL FAILURE;HYPERKALEMIA,renal
S/P STAB WOUND,trauma_injury
LIVER MASS,oncology
CHRONIC PANCREATITIS/SDA,gastrointestinal
TRACHEOMALACIA,respiratory
HYPERKALEMIA;RENAL FAILURE,renal
THROMBOTIC THROMBOCYTOPENIC PUPURA,hematologic
VFIB ARREST,cardiovascular
ALTERED MENTAL STATUS CHANGES,neurological
DISSECTION,cardiovascular
FINGER AMPUTATION,trauma_injury
LOWER EXTREMITY WEAKNESS,neurological
CORONARY ARTERY DISEASE\OFF PUMP CORONARY ARTERY BYPASS /SDA,cardiovascular
RECTAL BLEED,gastrointestinal
LEFT HIP INFECTION,infectious
ASSAULT,trauma_injury
SVC SYNDROME,cardiovascular
HYPERBILIRUBIN,hepatobiliary
PANCREATIC ABSCESS,infectious
POST OP INFECTION,postoperative_surgical
CORONARY ARTERY DISEASE\CATH WITH INTERVENTION,cardiovascular
PNEMONIA,respiratory
PERICARDITIS,cardiovascular
CHEST PAIN;CORONARY ARTERY DISEASE\CARDIAC CATH,cardiovascular
CERVICAL CA/SDA,oncology
GASTRIC CA/SDA,oncology
PULMONARY FIBROSIS,respiratory
RIGHT UPPER QUADRANT PAIN,symptoms_unspecified
LUNG NODULE/SDA,oncology
VF ARREST,cardiovascular
ATRIAL FIBRILLATION\BILATERAL THORACOSCOPIC MINI MAZE PROCEDURE WITH LEFT ATRIAL APPENDAGE RESECTION,cardiovascular
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT; MINIMALLY INVASIVE/SDA,cardiovascular
LINE SEPSIS,infectious
ST MYOCARDIAL INFARCTION,cardiovascular
RIGHT KNEE OA/SDA,musculoskeletal
PERICARDIAL EFFUSION\CATH,cardiovascular
G.I. BLEED,gastrointestinal
GALLSTONES,hepatobiliary
ACIDOSIS,endocrine_metabolic
RIB FRACTURES,trauma_injury
EKG CHANGES,cardiovascular
COLON CANCER,oncology
S/P VFIB ARREST,cardiovascular
UNRESPONSIVENESS,neurological
PED STRUCK,trauma_injury
NON ST ELEVATION MYOCARDIAL INFARCTION\CARDIAC CATHETERIZATION,cardiovascular
STE MYOCARDIAL INFARCTION,cardiovascular
PEA ARREST,cardiovascular
RESP DISTRESS,respiratory
SUBDURAL,neurological
OVERDOSE;TELEMETRY,toxicology_poisoning
BREAST CA/SDA,oncology
ALCOHOL WITHDRAWL,psychiatric
NAUSEA-VOMITING,gastrointestinal
HEAD BLEED;TELEMETRY,neurological
NON ST ELEVATION MYOCARDIAL INFARCTION,cardiovascular
GANGRENE RIGHT FOOT,cardiovascular
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT REDO /SDA,cardiovascular
STAB WOUNDS,trauma_injury
ISCHEMIC LEG,cardiovascular
STROKE;TRANSIENT ISCHEMIC ATTACK (TIA),neurological
RIGHT LUNG CA/SDA,oncology
THORACIC DISSECTION,cardiovascular
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT REDO /SDA,cardiovascular
MULTIPLE STAB WOUNDS,trauma_injury
LEFT FEMUR FRACTURE,trauma_injury
ARTERIAL OCCLUSION,cardiovascular
LUMBAR SPINAL STENOSIS/SDA,musculoskeletal
NAUSEA,gastrointestinal
C SPINE FRACTURE,trauma_injury
LEFT UPPER LOBE NODULE/SDA,oncology
AORTIC VALVE DISEASE\CATH,cardiovascular
MITRAL STENOSIS\MITRAL VALVE REPLACEMENT,cardiovascular
CORONARY ARTERY DISEASE;CP,cardiovascular
POST PROCEDURE ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY,postoperative_surgical
LUMBAR SPONDYLOSIS/SDA,musculoskeletal
AORTIC STENOSIS\AORTIC AND MITRAL VALVE REPLACEMENT /SDA,cardiovascular
CONSTIPATION,gastrointestinal
PITUITARY TUMOR/SDA,endocrine_metabolic
CHEST PAIN/ CATH,cardiovascular
INTRAVENTRICULAR BLEED,neurological
ESOPHAGEAL OBSTRUCTION,gastrointestinal
SYNCOPE;TELEMETRY;TELEMETRY,cardiovascular
SPLENIC RUPTURE,trauma_injury
NON-Q-WAVE MYOCARDIAL INFARCTION\CARDIAC CATH,cardiovascular
PELVIC FX,trauma_injury
CORONARY ARTERY DISEASE\AORTIC VALVE REPLACEMENT /SDA,cardiovascular
ACUTE MYELOGENOUS LEUKEMIA,hematologic
ENDOMETRIAL CANCER/SDA,oncology
CHOLANGIOCARCINOMA/SDA,hepatobiliary
RETROPERITONEAL HEMATOMA,trauma_injury
PANCREATIC CANCER,oncology
HYPERCARBIC RESPIRATORY FAILURE,respiratory
THYROID NEOPLASM UNCERTAIN TYPE/SDA,endocrine_metabolic
LEFT HIP OA/SDA,musculoskeletal
NON HEALING ULCER,dermatologic
UTI;PYELONEPHRITIS,genitourinary
ALCOHOL INTOXICATION,toxicology_poisoning
CERVICAL MYELOPATHY/SDA,neurological
V-FIB ARREST,cardiovascular
R/O STROKE,neurological
CORONARY ARTERY DISEASE;MITRAL REGURGITATION,cardiovascular
PERFORATED DUODENUM,gastrointestinal
SEIZURE;TELEMETRY,neurological
ST ELEVATED MYOCARDIAL INFARCTION\CARDIAC CATH,cardiovascular
HERNIA,gastrointestinal
EPIGLOTTITIS,infectious
ULCERATIVE COLITIS CHRONIC/SDA,gastrointestinal
CONGESTIVE HEART FAILURE;CHRONIC OBST PULM DISEASE,cardiovascular
FOREIGN BODY IN ESOPHAGUS,gastrointestinal
VOLVULUS,gastrointestinal
CONFUSION,symptoms_unspecified
RECTAL PROLAPSE,gastrointestinal
OBSTRUCTION,symptoms_unspecified
GASTRIC CANCER/SDA,oncology
OVARIAN CANCER,oncology
CARDIOMYOPATHY\CATH,cardiovascular
OBSTRUCTIVE JAUNDICE,hepatobiliary
S/P MOTOR VEHICLE ACCIDEMT,trauma_injury
POST ARREST,other
PERICARDIAL EFFUSION\PERICARDIAL TAP,cardiovascular
HIP FX,trauma_injury
"MR\MITRAL VALVE REPLACEMENT,HEART PORT MINIMALLY INVASIVE /SDA",cardiovascular
INTRA CRANIAL HEMORRHAGE,neurological
"URINARY TRACT INFECTION,PYELONEPHRITIS",genitourinary
ARRYTHMIA,cardiovascular
POLY TRAUMA,trauma_injury
CORONARY ARTERY DISEASE;CHEST PAIN\CATH,cardiovascular
SDH,neurological
+ETT;CORONARY ARTERY DISEASE\CATH,cardiovascular
BILE DUCT INJURY,hepatobiliary
MENINGIOMA,neurological
LGIB,gastrointestinal
C-SPINE FRACTURE,trauma_injury
PEDISTRIAN STRUCK,trauma_injury
CONGESTIVE HEART FAILURE;NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION,cardiovascular
ABDOMINAL PERFORATION,gastrointestinal
ASCENDING AORTIC ANEURYSM,cardiovascular
CLAUDICATION,cardiovascular
KIDNEY TX,renal
PULMONARY NODULE/SDA,respiratory
PSEUDOANEURYSM,cardiovascular
LEFT RENAL TUMOR/SDA,renal
URINARY TRACT INFECTION;PNEUMONIA,infectious
ILEUS,gastrointestinal
AORTIC STENOSIS\BENTAL PROCEDURE /SDA,cardiovascular
CENTRAL NERVOUS SYSTEM LYMPHOMA,neurological
CHEST PAIN-R/O MYOCARDIAL INFARCTION,cardiovascular
MITRAL VALVE INSUFFICIENCY\MITRAL VALVE REPLACEMENT /SDA,cardiovascular
UPPPER GI BLEED,gastrointestinal
PULMONARY HEMORRHAGE,respiratory
THORACOABDOMINAL ANEURYSM/SDA,cardiovascular
FEVER;MENTAL STATUS CHANGES,infectious
HYPERTHERMIA,other
GUN SHOT WOUND TO HEAD,trauma_injury
SPONDYLOSIS/SDA,musculoskeletal
DISSECTING AORTIC ANEURYSM,cardiovascular
MULTIPLE MYELOMA,hematologic
STOKE;TRANSIENT ISCHEMIC ATTACK,neurological
HUMERUS FRACTURE,trauma_injury
MR\MITRAL VALVE REPLACEMENT,cardiovascular
LIVER DISEASE,hepatobiliary
PNEUMONIA;DIABETIC KETOACIDOSIS,infectious
LEFT PLEURAL EFFUSION,respiratory
UNSTABLE ANGINA/CATH,cardiovascular
DUODENAL TUMOR/SDA,gastrointestinal
RIGHT KNEE OSTEOARTHRITIS/SDA,musculoskeletal
BILATERAL PNEUMONIA,infectious
ST SEGMENT ELEVATION MYOCARDIAL INFARCTION\CATH,cardiovascular
LOW BACK PAIN,musculoskeletal
BRAIN BLEED,neurological
HEPATACELLULAR CARCINOMA/SDA,oncology
RESPIRATORY FAILURE;CONGESTIVE HEART FAILURE,cardiovascular
HYPOTENSION;SEPSIS,infectious
ATRIAL FIBRILLATION\ATRIAL FIBRILLATION ABLATION,cardiovascular
S/P V-FIB ARREST,cardiovascular
NECK ABSCESS,infectious
CONGESTIVE HEART FAILURE;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,cardiovascular
GERD/SDA,gastrointestinal
THYROID CANCER/SDA,oncology
CONGESTIVE HEART FAILURE;SEPSIS,cardiovascular
CHOLELITHIASIS,hepatobiliary
SHORTNESS OF BREATH;HYPOXIA,respiratory
SICKLE CELL CRISIS,hematologic
CONGESTIVE HEART FAILURE;EXACERBATION,cardiovascular
ACUTE MYOCARDIAL INFARCTION\CATHERIZATION,cardiovascular
SPINAL FRACTURE,trauma_injury
UMBILICAL HERNIA/SDA,gastrointestinal
EPIDURAL HEMORRHAGE,neurological
MR\MITRAL VALVE REPLACEMENT /SDA,cardiovascular
LITHIUM OVERDOSE,toxicology_poisoning
ACUTE CORONARY SYNDROME;TELEMETRY,cardiovascular
C7 FRACTURE,trauma_injury
HTN EMERGENCY,cardiovascular
CEREBRAL BLEED,neurological
ELEVATED WHITE BLOOD COUNT,symptoms_unspecified
LIVER ABSCESS,infectious
RIGHT UPPER LOBE MASS,oncology
"MITRAL STENOSIS\MITRAL VALVE REPLACEMENT,HEART PORT MINIMALLY INVASIVE /SDA",cardiovascular
LOWER GIB,gastrointestinal
ST SEGMENT MYOCARDIAL INFARCTION\CATH,cardiovascular
POST OP BLEEDING,postoperative_surgical
GOITER/SDA,endocrine_metabolic
CERVICAL MYELOPATHY,neurological
CHOLELITHIASIS/SDA,hepatobiliary
TONGUE SWELLING,symptoms_unspecified
PANCREATIC CYST/SDA,gastrointestinal
BILIARY SEPSIS,infectious
NON Q WAVE MI,cardiovascular
VTACH;TELEMETRY,cardiovascular
HEPATORENAL FAILURE,renal
RENAL CELL CARCINOMA/SDA,oncology
VENTRICULAR TACHYCARDIA\VENTRICULAR TACHYCARDIA ABLATION  **REMOTE WEST**/SDA,cardiovascular
CHRONIC OBSTRUCTIVE PULMONARY DISEASE-EXACERBATION,respiratory
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; OFF PUMP/SDA,cardiovascular
COMGESTIVE HEART FAILURE,cardiovascular
LOWER BACK PAIN,symptoms_unspecified
INTRACEREBRAL BLEED,neurological
ALCOHOLIC HEPATITIS,hepatobiliary
PERICARDIAL EFFUSION\PERICARDIOCENTESIS,cardiovascular
GI BLEED SCHLEROSING CHOLANGITIS,gastrointestinal
CORONARY ARTERY BYPASS GRAFT,cardiovascular
POST ERCP,postoperative_surgical
HYPOTENSION;RENAL FAILURE,renal
ACUTE MYOCARDIAL INFARCTION/CATH,cardiovascular
PNEUMONIA;RESPIRATORY FAILURE,infectious
CHRONIC OBST PULM DISEASE;PNEUMONIA,infectious
ESOPHAGEAL FOOD IMPACTION,gastrointestinal
INCISIONAL HERNIA,gastrointestinal
RECURRENT VENTRICULAR TACHYCARDIA,cardiovascular
AORTIC VALVE STENOSIS\AORTIC VALVE REPLACEMENT /SDA,cardiovascular
ACUTE MENTAL STATUS CHANGES,neurological
ACUTE MI\LEFT HEART CATHETERIZATION,cardiovascular
CONGESTIVE HEART FAILURE;ATRIAL FIBRILLATION,cardiovascular
ATRIAL FIBRILLATION\CARDIOVERSION,cardiovascular
CAROTID DISSECTION,cardiovascular
TRACHEAL BRONCHIAL MALACIA/SDA,respiratory
LUDWIG'S ANGINA,infectious
FOREIGN BODY IN THROAT,respiratory
ANASARCA,other
ACETABULAR FRACTURE,trauma_injury
RENAL FAILURE;HYPOTENSION,renal
RENAL MASS/SDA,renal
INTRACTABLE PAIN,symptoms_unspecified
BLUNT TRAUMA;TELEMETRY,trauma_injury
TRACHEAL MALACIA,respiratory
LEFT MAIN STEM OBSTRUCTION,cardiovascular
CONGESTIVE HEART FAILURE\CARDIAC CATHETERIZATION,cardiovascular
CLAUDICATION\LEFT LOWER EXTREMITY ANGIOGRAM,cardiovascular
PLEURAL EFFUSION;LEFT LOWER LOBE MASS,respiratory
CONGESTIVE HEART FAILURE\RIGHT HEART CATH,cardiovascular
RENAL CELL CANCER,oncology
TYPE A AORTIC DISSECTION,cardiovascular
RIGHT UPPER LOBE CA/SDA,oncology
TRANSPLANT,other
STENOSIS/SDA,cardiovascular
PNEUMOPERITONEUM,gastrointestinal
HEPATICOCELLULAR CARCINOMA/SDA,oncology
RECTAL SHEATH HEMATOMA,hematologic
FEVER;COUGH,symptoms_unspecified
STROKE;TELEMETRY;TRANSIENT ISCHEMIC ATTACK;TELEMETRY,neurological
STATUS POST CARDIAC ARREST,cardiovascular
CORONARY ARTERY DISEASE\CABG,cardiovascular
PNEUMONIA;PLEURAL EFFUSION,infectious
THORACIC AORTIC ANEURYSM/SDA,cardiovascular
"SEPSIS,PNEUMONIA",infectious
HYPERPARATHYROIDISM/SDA,endocrine_metabolic
CONGESTIVE HEART FAILURE;VENTRICULAR TACHYCARDIA,cardiovascular
HEAD BLEED;OPEN SKULL FRACTURE,trauma_injury
PRE-MATURITY,pregnancy_obstetric
ISCHEMIC RIGHT LEG/SDA,cardiovascular
RAPID ATRIAL FIBRILLATION,cardiovascular
ADENAL CARCINOMA OF LIVER/SDA,oncology
UNSTABLE ANGINA\LEFT HEART CATH,cardiovascular
CAROTID STENOSIS LEFT/SDA,cardiovascular
LEFT MAIN CORONARY ARTERY DISEASE,cardiovascular
3 VESSEL DISEASE,cardiovascular
TACHYPNEA,symptoms_unspecified
ACUTE RESPIRATORY FAILURE,respiratory
AORTIC ENTERIC FISTULA,gastrointestinal
PERFORATED COLON,gastrointestinal
CORONARY ARTERY DISEASE\OFF PUMP CORONARY ARTERY BYPASS ENDOSCOPIC LEFT CHEST /SDA,cardiovascular
STEMYOCARDIAL INFARCTION,cardiovascular
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; WITH RADIAL ARTERY LEFT/SDA,cardiovascular
CELLULITIS;TELEMETRY,infectious
HYPOTENSION-HEPATORENAL FAILURE,renal
CABG,cardiovascular
AORTIC STENOSIS\AORTIC VALVULOPLASTY,cardiovascular
EDEMA,other
CONGESTIVE HEART FAILURE;RULE OUT CORONARY ARTERY DISEASE;ATRIAL FIBRILLATION\CATH,cardiovascular
AORTIC STENOSIS;CORONARY ARTERY DISEASE\CARDIAC CATH,cardiovascular
C1-C2 FRACTURE,trauma_injury
PMEUMONIA,infectious
PRE-OP LIVER TRANSPLANT,hepatobiliary
END STAGE RENAL FAILURE,renal
FACIAL FRACTURE,trauma_injury
R/O CANCER OF SPINE,oncology
RIGHT PARIETAL HEMORRHAGE,neurological
ATRIAL SEPTAL DEFECT\ REPAIR ATRIAL SEPTAL DEFECT LIMITED ACCESS/SDA,cardiovascular
MYASTHENIA GRAVIS CRISIS,neurological
TRACHEAL MALACIA/SDA,respiratory
PAIN,symptoms_unspecified
MEGACOLON,gastrointestinal
AIRWAY EDEMA,respiratory
ACUTE CVA,neurological
CERVICAL SPONDYLOSIS/SDA,musculoskeletal
CIRRHOSIS;ETOH WITHDRAWAL,hepatobiliary
AF,cardiovascular
MULTI-TRAUMA,trauma_injury
GASTRIC VOLVULUS,gastrointestinal
INTRA CRANIAL BLEED,neurological
+ETT,other
ABDOMINAL DISTENSION,symptoms_unspecified
SUBDURAL HEMATOMA;SUBARACHNOID HEMORRHAGE,neurological
LEFT MAIN DISEASE,cardiovascular
NON-HODGKIN'S LYMPHOMA\BONE MARROW TRANSPLANT,oncology
BRAIN METASTASIS/SDA,oncology
UGI BLEED,gastrointestinal
FOREIGN BODY ESOPHAGUS,gastrointestinal
CIRRHOSIS;ASCITES,hepatobiliary
HEPATOMA/SDA,oncology
"CONGESTIVE HEART FAILURE,RENAL FAILURE,ACIDOSIS",cardiovascular
HIATAL HERNIA,gastrointestinal
ASPIRATION; FAILURE TO THRIVE,respiratory
WOUND INFECTION R/O SEPSIS,infectious
DRUG REFRACTORY ATRIAL FIBRILLATION\PULMONARY VEIN ISOLATION  **REMOTE WEST**,cardiovascular
METABOLIC ACIDOSIS,endocrine_metabolic
HIATAL HERNIA/SDA,gastrointestinal
TRACHEAL BRONCHEAL MALACIA/SDA,respiratory
ACUTE SUBDURAL HEMATOMA;SUBARACHNOID HEMORRHAGE,neurological
CORONARY ARTERY DISEASE\ OFF PUMP CORONARY ARTERY BYPASS/SDA,cardiovascular
BRAIN LESION/SDA,neurological
STAB WOUND TO CHEST,trauma_injury
SEPSIS;CHANGE IN MENTAL STATUS,infectious
R/O PNEUMONIA,respiratory
FALL;HYPOXIA;DEHYDRATION;N/V/D,symptoms_unspecified
FIBROID UTERUS/SDA,pregnancy_obstetric
"LEG EDEMA,CELLULITIS",infectious
PNEUMONIA-RENAL FAILURE,respiratory
BRAIN METASTASES,oncology
OBSTRUCTED RIGHT MIDDLE LOBE/SDA,respiratory
LEFT FOOT CELLULITIS,infectious
CORONARY ARTERY DISEASE;LEFT MAIN DISEASE,cardiovascular
CORONARY ARTERY DISEASE\STENT,cardiovascular
COUGH;FEVER,symptoms_unspecified
DELTA MS,neurological
TRICUSPID REGURGITATION\REDO-REDO TRICUSPID VALVE REPAIR/REPLACEMENT,cardiovascular
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; W/AVR/SDA,cardiovascular
FOURNIER'S GANGRENE,infectious
CEREBELLER HEMORRHAGE,neurological
S/P KIDNEY TRANSPLANT,renal
"FEVER,HYPOTENSION",symptoms_unspecified
INFECTED PIC LINE/FEVER,infectious
CARDIAC DZ.,cardiovascular
LT HIP FRACTURE,trauma_injury
ILIAC ARTERY ANEURYSM/SDA,cardiovascular
SCROTAL ABSCESS,infectious
THORACO-ABDOMINAL ANEURYSM/SDA,cardiovascular
CORONARY ARTERY DISEASE;3 VESSEL DISEASE,cardiovascular
MYOCARDIAL INFARCTION;GI BLEED,cardiovascular
PANCREATIC NECROSIS,gastrointestinal
VAGINAL BLEED,pregnancy_obstetric
ANEURSYM/SDA,cardiovascular
ASTHMA EXACERBATION;COPD EXACBERATION,respiratory
COLONIC PERFORATION,gastrointestinal
T1 FRACTURE,trauma_injury
SEVERE ISCHEMIA/SDA,cardiovascular
FLANK PAIN,symptoms_unspecified
GROIN BLEED;CP;TELEMETRY,symptoms_unspecified
FAILURE OF FIXATION/SDA,trauma_injury
ATRIAL FIBRILATION,cardiovascular
CONGESTIVE HEART FAILURE;CARDIOMYOPATHY\CATH,cardiovascular
AVR,cardiovascular
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; ? MVR/SDA,cardiovascular
HYPERTENSION EMERGENCY,cardiovascular
+ETT;CHEST PAIN\CATH,symptoms_unspecified
RENAL LACERATION,renal
TOXIC INGESTION,toxicology_poisoning
UROSEPSIS;TELEMETRY,infectious
CONGESTIVE HEART FAILURE;MYOCARDIAL INFARCTION,cardiovascular
CONGESTIVE HEART FAILURE;AORTIC STENOSIS\CARDIAC CATH,cardiovascular
DEHYDRATION;TELEMETRY,symptoms_unspecified
DIAPHRAGMATIC HERNIA/SDA,gastrointestinal
COMMON BILE DUCT STONES,hepatobiliary
PNEUMOSEPSIS,infectious
MITRAL REGURGITATION\MITRAL VALVE REPLACEMENT,cardiovascular
BILIARY OBSTRUCTION,hepatobiliary
AORTIC VALVE DISEASE;CORONARY ARTERY DISEASE,cardiovascular
BLADDER TUMOR/SDA,genitourinary
OA RIGHT KNEE/SDA,musculoskeletal
ESOPHAGEAL RUPTURE,gastrointestinal
AORTIC STENOSIS;CONGESTIVE HEART FAILURE,cardiovascular
FLAIL CHEST,trauma_injury
CHEST PAIN;MYOCARDIAL INFARCTION,cardiovascular
LUDWIGS ANGINA,infectious
ATRIAL FLUTTER,cardiovascular
BILATERAL PULMONARY EMBOLISM,cardiovascular
CHEST PAIN;RULE OUT CORONARY ARTERY DISEASE\CARDIAC CATH,cardiovascular
IVH,neurological
PORTAL VEIN THROMBUS,hematologic
CSF LEAK,neurological
MYELOFIBROSIS\BONE MARROW TRANSPLANT,hematologic
HYPOGLYCEMIA;DELTA MS;TELEMETRY,endocrine_metabolic
SEPSIS;ICD LEAD INFECTION,infectious
ABDOMINAL FISTULA,gastrointestinal
"GANGRENE,RIGHT FOOT",other
HYPOTENSION;FEVER,symptoms_unspecified
VERTEBRAL ARTERY STENOSIS,neurological
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH ? MVR /SDA,cardiovascular
N STEMI,cardiovascular
PULMONARY EMBOLISM;TELEMETRY,cardiovascular
RP BLEED/ HEMATOMA,trauma_injury
AORTIC STENOSIS\ AORTIC AND MITRAL VALVE REPLACEMENT/SDA,cardiovascular
UREMIA,renal
RECURRENT LEUKEMIA,hematologic
NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION;CONGESTIVE HEART FAILURE,cardiovascular
CERVICAL SPINAL STENOSIS/SDA,musculoskeletal
ACUTE CORONARY SYNDROME\CARDIAC CATH,cardiovascular
ATAXIA,neurological
LEFT LUNG CANCER/SDA,oncology
NON-SURGICAL BOWEL OBSTRUCTION,gastrointestinal
PLEURAL EFFUSIONS,respiratory
FEVER;TACHYCARDIA,symptoms_unspecified
ACUTE MYOCARDIAL INFARCTION,cardiovascular
MULTITRAUMA,trauma_injury
FEVER;HYPOXIA,symptoms_unspecified
MITRAL REGURGITATION;CORONARY ARTERY DISEASE,cardiovascular
BRAIN METASTASIS,neurological
"CHF, A-FIB",cardiovascular
END STAGE LIVER FAILURE,hepatobiliary
SQUAMOUS CELL CARCINOMA/SDA,oncology
PONTINE BLEED,neurological
ELEVATED INR,hematologic
ANGINA\CARDIAC CATH,cardiovascular
ASD\REPAIR ATRIAL-SEPTAL DEFECT/SDA,cardiovascular
INTRAPERITONEAL BLEED,trauma_injury
LEFT BREAST CANCER/SDA,oncology
R/O CEREBROVASCULAR ACCIDENT,neurological
"CHEST PAIN,R/O MI",cardiovascular
INFERIOR MYOCARDIAL INFARCTION\CATH,cardiovascular
SUBARACHNOID HEMMORHAGE,neurological
ATRIAL FIBRILLATIOM,cardiovascular
TRACHEO-BRONCHO MALACEA/SDA,respiratory
CHEST PAIN;ACUTE CORONARY SYNDROME\CATH,cardiovascular
ARREST,cardiovascular
NARCOTIC OVERDOSE,toxicology_poisoning
AORTIC ANEURYSM/SDA,cardiovascular
INTESTINAL PERFORATION,gastrointestinal
STEVENS JOHNSON SYNDROME,dermatologic
PANCREATIC TUMOR/SDA,oncology
HEPATIC ENCEPHALOPATHY WITH HYPERBILIRUBENEMIA,hepatobiliary
MALARIA,infectious
NSTEMI,cardiovascular
PRESYNCOPE,cardiovascular
MITRAL STENOSIS,cardiovascular
STRANGULATED HERNIA,gastrointestinal
DIC,hematologic
? BOWEL PERFORATION,gastrointestinal
NON HODGKINS LYMPHOMA,oncology
ASTHMA FLARE,respiratory
RIGHT LUNG MASS/SDA,oncology
LEFT LEG CELLULITIS,infectious
METASTATIC BREAST CANCER,oncology
MS CHANGES,neurological
RIGHT LOWER LOBE CANCER/SDA,oncology
PRE-OP LIVER,hepatobiliary
HYPERTENSIVE,cardiovascular
COLON CA,oncology
S/P BICYCLE ACCIDENT,trauma_injury
RIB FRACTURE,trauma_injury
EPIDURAL,trauma_injury
ENCEPHALITIS,infectious
"CAD, AORTIC STENOSIS\CORONARY ARTERY BYPASS GRAFT; W/ AVR/SDA",cardiovascular
MALIGNANT HYPERTENSION,cardiovascular
HYPERCALCEMIA: LUNG CANCER,oncology
LUMBAR FRACTURE,trauma_injury
SYMPTOMATIC BRADYCARDIA,cardiovascular
MOTOR VEHICLE CRASH,trauma_injury
DIABETIC KETO ACIDOSIS,endocrine_metabolic
LARGE BOWEL OBSTRUCTION,gastrointestinal
PERFORATED VISCUS,gastrointestinal
DIZZINESS,symptoms_unspecified
SMALL BOWEL FISTULA,gastrointestinal
FACIAL FRACTURES,trauma_injury
RECTAL CA,oncology
SEPTIC SHOCK;PNEUMONIA,infectious
CORONARY ARTERY DISEASE;CAROTID STENOSIS,cardiovascular
CONGESTIVE HEART FAILURE;SHORTNESS OF BREATH,cardiovascular
RIGHT BRAIN TUMOR/SDA,neurological
BOWEL OBSTRUCTION;TELEMETRY,gastrointestinal
LEFT FOOT INFECTION,infectious
"CAD,S/P FALL,SYNCOPAL EPISODE",cardiovascular
FALL;CONFUSION,neurological
SMALL CELL LUNG CANCER,oncology
LEFT OCCIPITAL TUMOR/SDA,neurological
DEHISCENT AVR,cardiovascular
"C SECTION,REPEAT",pregnancy_obstetric
RECTAL PROLAPSE/SDA,gastrointestinal
S/P LIVER TX-NAUSEA-VOMITING,postoperative_surgical
LEFT BREAST CA/SDA,oncology
CORONARY ARTERY DISEASE;CONGESTIVE HEART FAILURE,cardiovascular
KYPHOSCOLIOSIS/SDA,musculoskeletal
AORTIC STENOSIS\AVR; ? CORONARY ARTERY BYPASS GRAFT /SDA,cardiovascular
TIB FIB FRACTURE,trauma_injury
ASTHMA;COPD EXACERBATION;TELEMETRY,respiratory
ASPIRATION PNEUMONIA;SEPSIS,infectious
